title,author,length
30. Butcher & Blackbird,By: Brynne Weaver,Length: 8 hrs and 43 mins
31. A Court of Frost and Starlight,By: Sarah J. Maas,Length: 6 hrs and 23 mins
32. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 48 mins
33. Pretty Girls,By: Karin Slaughter,Length: 20 hrs
"34. Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
35. Hábitos atómicos (Español neutro),By: James Clear,Length: 9 hrs and 1 min
36. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
37. The Body Keeps the Score,By: Bessel A. van der Kolk,Length: 16 hrs and 15 mins
38. The Covenant of Water,By: Abraham Verghese,Length: 31 hrs and 16 mins
39. It's Not You,By: Ramani Durvasula PhD,Length: 11 hrs and 31 mins
40. The Woman in Me,By: Britney Spears,Length: 5 hrs and 31 mins
41. Crown of Midnight,By: Sarah J. Maas,Length: 12 hrs and 43 mins
42. Don't Believe Everything You Think,By: Joseph Nguyen,Length: 2 hrs and 16 mins
43. How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
44. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
45. Heir of Fire,By: Sarah J. Maas,Length: 17 hrs and 56 mins
46. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
47. Bride,By: Ali Hazelwood,Length: 12 hrs and 47 mins
48. The Mountain Is You,By: Brianna Wiest,Length: 5 hrs and 44 mins
49. Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins
50. Fight Right,"By: Julie Schwartz Gottman PhD, John Gottman PhD",Length: 10 hrs and 21 mins
51. Haunting Adeline,By: H. D. Carlton,Length: 15 hrs and 48 mins
52. Hidden Potential,By: Adam Grant,Length: 7 hrs and 21 mins
53. The Perfect Marriage,By: Jeneva Rose,Length: 8 hrs and 52 mins
54. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
55. Rich Dad Poor Dad: 20th Anniversary Edition,By: Robert T. Kiyosaki,Length: 8 hrs and 22 mins
56. The Wife Upstairs,By: Freida McFadden,Length: 10 hrs and 3 mins
57. 12 Rules for Life,"By: Jordan B. Peterson, Norman Doidge MD",Length: 15 hrs and 40 mins
58. The Four Agreements,By: don Miguel Ruiz,Length: 2 hrs and 31 mins
59. The Frozen River,By: Ariel Lawhon,Length: 15 hrs and 5 mins
60. Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins
"61. Harry Potter and the Chamber of Secrets, Book 2",By: J.K. Rowling,Length: 9 hrs and 2 mins
62. Defiance of the Fall 12,"By: TheFirstDefier, JF Brink",Length: 26 hrs and 24 mins
63. The Assassin's Blade,By: Sarah J. Maas,Length: 12 hrs and 52 mins
64. Elon Musk,By: Walter Isaacson,Length: 20 hrs and 39 mins
65. Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
66. Never Split the Difference,By: Chris Voss,Length: 8 hrs and 7 mins
67. Extreme Ownership,"By: Jocko Willink, Leif Babin",Length: 9 hrs and 33 mins
68. The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
69. A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 8 hrs and 26 mins
70. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
71. Lone Wolf,By: Gregg Hurwitz,Length: 13 hrs and 13 mins
72. Unfu*k Yourself,By: Gary John Bishop,Length: 3 hrs and 24 mins
73. The Silent Patient,By: Alex Michaelides,Length: 8 hrs and 33 mins
"74. Harry Potter and the Prisoner of Azkaban, Book 3",By: J.K. Rowling,Length: 11 hrs and 49 mins
75. Tower of Dawn,By: Sarah J. Maas,Length: 22 hrs and 39 mins
"76. Harry Potter and the Goblet of Fire, Book 4",By: J.K. Rowling,Length: 20 hrs and 36 mins
77. $100M Leads,By: Alex Hormozi,Length: 6 hrs
78. Kingdom of Ash,By: Sarah J. Maas,Length: 33 hrs and 11 mins
79. The 5 Second Rule,By: Mel Robbins,Length: 7 hrs and 35 mins
80. The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
"81. Friends, Lovers, and the Big Terrible Thing",By: Matthew Perry,Length: 8 hrs and 49 mins
82. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
83. The Holy Grail of Investing,"By: Tony Robbins, Christopher Zook",Length: 11 hrs and 28 mins
84. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
85. Do the New You,By: Steven Furtick,Length: 9 hrs and 42 mins
86. Killers of the Flower Moon,By: David Grann,Length: 9 hrs and 4 mins
"87. Harry Potter and the Order of the Phoenix, Book 5",By: J.K. Rowling,Length: 26 hrs and 28 mins
88. The Bad Weather Friend,By: Dean Koontz,Length: 8 hrs and 42 mins
89. Fourth Wing (Part 2 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 9 hrs and 22 mins
"90. Harry Potter and the Deathly Hallows, Book 7",By: J.K. Rowling,Length: 21 hrs and 36 mins
91. The Wager,By: David Grann,Length: 8 hrs and 28 mins
92. The 5AM Club,By: Robin Sharma,Length: 11 hrs and 4 mins
"93. Harry Potter and the Half-Blood Prince, Book 6",By: J.K. Rowling,Length: 18 hrs and 32 mins
94. Be Useful,By: Arnold Schwarzenegger,Length: 6 hrs and 19 mins
95. Never Finished,By: David Goggins,Length: 11 hrs and 6 mins
96. Hello Beautiful,By: Ann Napolitano,Length: 15 hrs and 6 mins
97. Present over Perfect,By: Shauna Niequist,Length: 4 hrs and 44 mins
98. Ask for Andrea,By: Noelle West Ihli,Length: 6 hrs and 40 mins
99. The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins
100. The Courage to Be Disliked,"By: Ichiro Kishimi, Fumitake Koga",Length: 6 hrs and 29 mins
