title,author,length
30. The Psychology of Money,By: Morgan Housel,Length: 5 hrs and 48 mins
31. Hábitos atómicos (Español neutro),By: James Clear,Length: 9 hrs and 1 min
32. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
33. The Covenant of Water,By: Abraham Verghese,Length: 31 hrs and 16 mins
34. It's Not You,By: Ramani Durvasula PhD,Length: 11 hrs and 31 mins
35. The Woman in Me,By: Britney Spears,Length: 5 hrs and 31 mins
36. Crown of Midnight,By: Sarah J. Maas,Length: 12 hrs and 43 mins
37. Don't Believe Everything You Think,By: Joseph Nguyen,Length: 2 hrs and 16 mins
38. How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
39. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
40. Heir of Fire,By: Sarah J. Maas,Length: 17 hrs and 56 mins
41. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
42. Bride,By: Ali Hazelwood,Length: 12 hrs and 47 mins
43. The Mountain Is You,By: Brianna Wiest,Length: 5 hrs and 44 mins
44. Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins
45. Fight Right,"By: Julie Schwartz Gottman PhD, John Gottman PhD",Length: 10 hrs and 21 mins
46. Haunting Adeline,By: H. D. Carlton,Length: 15 hrs and 48 mins
47. Hidden Potential,By: Adam Grant,Length: 7 hrs and 21 mins
48. The Perfect Marriage,By: Jeneva Rose,Length: 8 hrs and 52 mins
49. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
50. Rich Dad Poor Dad: 20th Anniversary Edition,By: Robert T. Kiyosaki,Length: 8 hrs and 22 mins
51. The Wife Upstairs,By: Freida McFadden,Length: 10 hrs and 3 mins
52. 12 Rules for Life,"By: Jordan B. Peterson, Norman Doidge MD",Length: 15 hrs and 40 mins
53. The Four Agreements,By: don Miguel Ruiz,Length: 2 hrs and 31 mins
54. The Frozen River,By: Ariel Lawhon,Length: 15 hrs and 5 mins
55. Empire of Storms,By: Sarah J. Maas,Length: 25 hrs and 18 mins
56. Defiance of the Fall 12,"By: TheFirstDefier, JF Brink",Length: 26 hrs and 24 mins
57. The Assassin's Blade,By: Sarah J. Maas,Length: 12 hrs and 52 mins
58. Elon Musk,By: Walter Isaacson,Length: 20 hrs and 39 mins
59. Project Hail Mary,By: Andy Weir,Length: 16 hrs and 10 mins
60. Never Split the Difference,By: Chris Voss,Length: 8 hrs and 7 mins
61. Extreme Ownership,"By: Jocko Willink, Leif Babin",Length: 9 hrs and 33 mins
62. The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
63. A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 8 hrs and 26 mins
64. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
65. Lone Wolf,By: Gregg Hurwitz,Length: 13 hrs and 13 mins
66. Unfu*k Yourself,By: Gary John Bishop,Length: 3 hrs and 24 mins
67. The Silent Patient,By: Alex Michaelides,Length: 8 hrs and 33 mins
68. Tower of Dawn,By: Sarah J. Maas,Length: 22 hrs and 39 mins
69. $100M Leads,By: Alex Hormozi,Length: 6 hrs
70. Kingdom of Ash,By: Sarah J. Maas,Length: 33 hrs and 11 mins
71. The 5 Second Rule,By: Mel Robbins,Length: 7 hrs and 35 mins
72. The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
"73. Friends, Lovers, and the Big Terrible Thing",By: Matthew Perry,Length: 8 hrs and 49 mins
74. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
75. The Holy Grail of Investing,"By: Tony Robbins, Christopher Zook",Length: 11 hrs and 28 mins
76. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
77. Do the New You,By: Steven Furtick,Length: 9 hrs and 42 mins
78. Killers of the Flower Moon,By: David Grann,Length: 9 hrs and 4 mins
79. The Bad Weather Friend,By: Dean Koontz,Length: 8 hrs and 42 mins
80. Fourth Wing (Part 2 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Length: 9 hrs and 22 mins
81. The Wager,By: David Grann,Length: 8 hrs and 28 mins
82. The 5AM Club,By: Robin Sharma,Length: 11 hrs and 4 mins
83. Be Useful,By: Arnold Schwarzenegger,Length: 6 hrs and 19 mins
84. Never Finished,By: David Goggins,Length: 11 hrs and 6 mins
85. Hello Beautiful,By: Ann Napolitano,Length: 15 hrs and 6 mins
86. Present over Perfect,By: Shauna Niequist,Length: 4 hrs and 44 mins
87. Ask for Andrea,By: Noelle West Ihli,Length: 6 hrs and 40 mins
88. The Chronicles of Narnia Complete Audio Collection,By: C. S. Lewis,Length: 33 hrs and 45 mins
89. The Courage to Be Disliked,"By: Ichiro Kishimi, Fumitake Koga",Length: 6 hrs and 29 mins
90. Never Lie,By: Freida McFadden,Length: 7 hrs and 21 mins
91. How to Know a Person,By: David Brooks,Length: 7 hrs and 27 mins
92. Spare,By: Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
93. The Creative Act,By: Rick Rubin,Length: 5 hrs and 45 mins
94. My Name Is Barbra,By: Barbra Streisand,Length: 48 hrs and 17 mins
95. The Serpent and the Wings of Night,By: Carissa Broadbent,Length: 15 hrs and 4 mins
96. The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
97. Tempting Promises,By: Corinne Michaels,Length: 9 hrs and 32 mins
98. A Court of Thorns and Roses (Part 1 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 6 hrs and 4 mins
99. A Court of Mist and Fury (Part 2 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Length: 8 hrs and 23 mins
